build,defect_category,test_case,test_approach,test_tool,runtime(seconds),costs(USD),revision,build_start,build_duration(hh:mm:ss)
124,1,1,4,terraform test,6,NA,7c40d2f,20231104160739,00:01:39
124,2,5,4,terraform test,2,NA,7c40d2f,20231104160739,00:01:39
125,8,NA,1,terraform fmt,0,NA,604b30a,20231104161225,00:54:03
125,8,NA,2,terraform validate,3,NA,604b30a,20231104161225,00:54:03
125,6,NA,3,tfsec,8,NA,604b30a,20231104161225,00:54:03
125,2,6,4,pytest,6,NA,604b30a,20231104161225,00:54:03
125,4,10,4,pytest,6,NA,604b30a,20231104161225,00:54:03
125,6,13,4,pytest,6,NA,604b30a,20231104161225,00:54:03
125,3,8,4,pytest,6,NA,604b30a,20231104161225,00:54:03
125,1,2,4,terraform test,2,NA,604b30a,20231104161225,00:54:03
125,1,1,4,terraform test,6,NA,604b30a,20231104161225,00:54:03
125,2,5,4,terraform test,2,NA,604b30a,20231104161225,00:54:03
125,NA,NA,5,terraform apply,863,NA,604b30a,20231104161225,00:54:03
125,1,4,5,terraform test,4,0.04361,604b30a,20231104161225,00:54:03
125,3,9,5,terraform test,4,0.04361,604b30a,20231104161225,00:54:03
125,2,7,5,terraform test,4,0.04361,604b30a,20231104161225,00:54:03
125,NA,NA,5,terraform destroy,651,NA,604b30a,20231104161225,00:54:03
125,5,11,5,terratest,1558,0.17605,604b30a,20231104161225,00:54:03
126,8,NA,1,terraform fmt,0,NA,7770d2a,20231104170648,01:21:03
126,8,NA,2,terraform validate,3,NA,7770d2a,20231104170648,01:21:03
126,6,NA,3,tfsec,8,NA,7770d2a,20231104170648,01:21:03
126,2,6,4,pytest,7,NA,7770d2a,20231104170648,01:21:03
126,4,10,4,pytest,6,NA,7770d2a,20231104170648,01:21:03
126,6,13,4,pytest,6,NA,7770d2a,20231104170648,01:21:03
126,3,8,4,pytest,6,NA,7770d2a,20231104170648,01:21:03
126,1,2,4,terraform test,3,NA,7770d2a,20231104170648,01:21:03
126,1,1,4,terraform test,6,NA,7770d2a,20231104170648,01:21:03
126,2,5,4,terraform test,2,NA,7770d2a,20231104170648,01:21:03
126,NA,NA,5,terraform apply,941,NA,7770d2a,20231104170648,01:21:03
126,1,4,5,terraform test,4,0.04323,7770d2a,20231104170648,01:21:03
126,3,9,5,terraform test,4,0.04323,7770d2a,20231104170648,01:21:03
126,2,7,5,terraform test,3,0.04318,7770d2a,20231104170648,01:21:03
126,NA,NA,5,terraform destroy,545,NA,7770d2a,20231104170648,01:21:03
126,1,3,5,terraform test,1616,0.17918,7770d2a,20231104170648,01:21:03
126,5,11,5,terratest,1580,0.17724,7770d2a,20231104170648,01:21:03
127,8,NA,1,terraform fmt,0,NA,7770d2a,20231104193058,01:22:09
127,8,NA,2,terraform validate,3,NA,7770d2a,20231104193058,01:22:09
127,6,NA,3,tfsec,7,NA,7770d2a,20231104193058,01:22:09
127,2,6,4,pytest,5,NA,7770d2a,20231104193058,01:22:09
127,4,10,4,pytest,6,NA,7770d2a,20231104193058,01:22:09
127,6,13,4,pytest,6,NA,7770d2a,20231104193058,01:22:09
127,3,8,4,pytest,5,NA,7770d2a,20231104193058,01:22:09
127,1,2,4,terraform test,3,NA,7770d2a,20231104193058,01:22:09
127,1,1,4,terraform test,6,NA,7770d2a,20231104193058,01:22:09
127,2,5,4,terraform test,1,NA,7770d2a,20231104193058,01:22:09
127,NA,NA,5,terraform apply,886,NA,7770d2a,20231104193058,01:22:09
127,1,4,5,terraform test,4,0.04334,7770d2a,20231104193058,01:22:09
127,3,9,5,terraform test,4,0.04334,7770d2a,20231104193058,01:22:09
127,2,7,5,terraform test,3,0.04329,7770d2a,20231104193058,01:22:09
127,NA,NA,5,terraform destroy,606,NA,7770d2a,20231104193058,01:22:09
127,1,3,5,terraform test,1661,0.1816,7770d2a,20231104193058,01:22:09
127,5,11,5,terratest,1600,0.17832,7770d2a,20231104193058,01:22:09
128,8,NA,1,terraform fmt,0,NA,4bdc021,20231105085514,01:22:49
128,8,NA,2,terraform validate,3,NA,4bdc021,20231105085514,01:22:49
128,6,NA,3,tfsec,9,NA,4bdc021,20231105085514,01:22:49
128,2,6,4,pytest,7,NA,4bdc021,20231105085514,01:22:49
128,4,10,4,pytest,6,NA,4bdc021,20231105085514,01:22:49
128,6,13,4,pytest,6,NA,4bdc021,20231105085514,01:22:49
128,3,8,4,pytest,6,NA,4bdc021,20231105085514,01:22:49
128,1,2,4,terraform test,2,NA,4bdc021,20231105085514,01:22:49
128,1,1,4,terraform test,6,NA,4bdc021,20231105085514,01:22:49
128,2,5,4,terraform test,2,NA,4bdc021,20231105085514,01:22:49
128,NA,NA,5,terraform apply,886,NA,4bdc021,20231105085514,01:22:49
128,1,4,5,terraform test,4,0.04382,4bdc021,20231105085514,01:22:49
128,3,9,5,terraform test,4,0.04382,4bdc021,20231105085514,01:22:49
128,2,7,5,terraform test,3,0.04377,4bdc021,20231105085514,01:22:49
128,NA,NA,5,terraform destroy,644,NA,4bdc021,20231105085514,01:22:49
128,1,3,5,terraform test,1669,0.18203,4bdc021,20231105085514,01:22:49
128,5,11,5,terratest,1590,0.17778,4bdc021,20231105085514,01:22:49
137,8,NA,1,terraform fmt,0,NA,15ecddb,20231108190338,00:01:55
137,8,NA,2,terraform validate,2,NA,15ecddb,20231108190338,00:01:55
137,6,NA,3,tfsec,1,NA,15ecddb,20231108190338,00:01:55
137,2,6,4,pytest,2,NA,15ecddb,20231108190338,00:01:55
137,4,10,4,pytest,1,NA,15ecddb,20231108190338,00:01:55
137,6,13,4,pytest,1,NA,15ecddb,20231108190338,00:01:55
137,3,8,4,pytest,1,NA,15ecddb,20231108190338,00:01:55
137,1,2,4,terraform test,3,NA,15ecddb,20231108190338,00:01:55
137,1,1,4,terraform test,5,NA,15ecddb,20231108190338,00:01:55
137,2,5,4,terraform test,2,NA,15ecddb,20231108190338,00:01:55
141,8,NA,1,terraform fmt,0,NA,13102f2,20231108192444,00:01:54
141,8,NA,2,terraform validate,2,NA,13102f2,20231108192444,00:01:54
141,6,NA,3,tfsec,1,NA,13102f2,20231108192444,00:01:54
141,2,6,4,pytest,1,NA,13102f2,20231108192444,00:01:54
141,4,10,4,pytest,1,NA,13102f2,20231108192444,00:01:54
141,6,13,4,pytest,1,NA,13102f2,20231108192444,00:01:54
141,3,8,4,pytest,1,NA,13102f2,20231108192444,00:01:54
141,1,2,4,terraform test,3,NA,13102f2,20231108192444,00:01:54
141,1,1,4,terraform test,5,NA,13102f2,20231108192444,00:01:54
141,2,5,4,terraform test,2,NA,13102f2,20231108192444,00:01:54
142,8,NA,1,terraform fmt,0,NA,8ab7753,20231108193227,01:58:02
142,8,NA,2,terraform validate,2,NA,8ab7753,20231108193227,01:58:02
142,6,NA,3,tfsec,2,NA,8ab7753,20231108193227,01:58:02
142,2,6,4,pytest,1,NA,8ab7753,20231108193227,01:58:02
142,4,10,4,pytest,2,NA,8ab7753,20231108193227,01:58:02
142,6,13,4,pytest,1,NA,8ab7753,20231108193227,01:58:02
142,3,8,4,pytest,1,NA,8ab7753,20231108193227,01:58:02
142,1,2,4,terraform test,3,NA,8ab7753,20231108193227,01:58:02
142,1,1,4,terraform test,5,NA,8ab7753,20231108193227,01:58:02
142,2,5,4,terraform test,2,NA,8ab7753,20231108193227,01:58:02
142,NA,NA,5,terraform apply,910,NA,8ab7753,20231108193227,01:58:02
142,1,4,5,terraform test,4,0.04253,8ab7753,20231108193227,01:58:02
142,3,9,5,terraform test,3,0.04248,8ab7753,20231108193227,01:58:02
142,2,7,5,terraform test,3,0.04248,8ab7753,20231108193227,01:58:02
142,NA,NA,5,terraform destroy,523,NA,8ab7753,20231108193227,01:58:02
142,1,3,5,terraform test,1721,0.18484,8ab7753,20231108193227,01:58:02
142,5,11,5,terratest,1487,0.17223,8ab7753,20231108193227,01:58:02
142,6,14,5,terratest,2285,0.21522,8ab7753,20231108193227,01:58:02
143,8,NA,1,terraform fmt,0,NA,e6b1056,20231108215520,00:01:08
143,8,NA,2,terraform validate,2,NA,e6b1056,20231108215520,00:01:08
143,6,NA,3,tfsec,1,NA,e6b1056,20231108215520,00:01:08
143,2,6,4,pytest,1,NA,e6b1056,20231108215520,00:01:08
143,4,10,4,pytest,1,NA,e6b1056,20231108215520,00:01:08
143,6,13,4,pytest,2,NA,e6b1056,20231108215520,00:01:08
143,3,8,4,pytest,1,NA,e6b1056,20231108215520,00:01:08
143,1,2,4,terraform test,3,NA,e6b1056,20231108215520,00:01:08
143,1,1,4,terraform test,6,NA,e6b1056,20231108215520,00:01:08
143,2,5,4,terraform test,2,NA,e6b1056,20231108215520,00:01:08
144,8,NA,1,terraform fmt,0,NA,e6b1056,20231108215815,00:01:05
144,8,NA,2,terraform validate,2,NA,e6b1056,20231108215815,00:01:05
144,6,NA,3,tfsec,1,NA,e6b1056,20231108215815,00:01:05
144,2,6,4,pytest,1,NA,e6b1056,20231108215815,00:01:05
144,4,10,4,pytest,1,NA,e6b1056,20231108215815,00:01:05
144,6,13,4,pytest,1,NA,e6b1056,20231108215815,00:01:05
144,3,8,4,pytest,1,NA,e6b1056,20231108215815,00:01:05
144,1,2,4,terraform test,2,NA,e6b1056,20231108215815,00:01:05
144,1,1,4,terraform test,6,NA,e6b1056,20231108215815,00:01:05
144,2,5,4,terraform test,2,NA,e6b1056,20231108215815,00:01:05
154,8,NA,1,terraform fmt,0,NA,debaa75,20231109064737,00:01:48
154,8,NA,2,terraform validate,2,NA,debaa75,20231109064737,00:01:48
154,6,NA,3,tfsec,1,NA,debaa75,20231109064737,00:01:48
154,2,6,4,pytest,1,NA,debaa75,20231109064737,00:01:48
